Id Personne;Id Famille;QF;Type repas;Nombre;id gale ou non ;type de repas simplifi par tarif identique 
2022;3125;3874;Repas Standard;133;;Repas Standard
2023;911;256;Repas Sans Porc;136;;Repas Standard
2024;512;775;Repas Halal;58;;Repas Standard
2025;3272;826;Repas Standard;127;;Repas Standard
2026;3272;826;Repas Standard;131;;Repas Standard
2027;1364;419;Repas Standard;81;;Repas Standard
2028;3273;1444;Repas Standard;130;;Repas Standard
2029;3273;1444;Repas Standard;130;;Repas Standard
2030;1933;859;Repas Standard;12;;Repas Standard
2031;3274;387;Repas Halal;70;;Repas Standard
2032;3275;1671;Repas Standard;51;;Repas Standard
2033;3276;741;Repas Végétarien;131;;Repas vgtarien
2034;1124;382;Repas Standard;82;;Repas Standard
2035;3277;862;Repas Sans Porc;30;oui;Repas Standard
2035;3277;1007;Repas Sans Porc;52;oui;Repas Standard
2035;3277;1070;Repas Sans Porc;19;;Repas Standard
2036;2316;409;Repas Standard;84;oui;Repas Standard
2036;2316;627;Repas Standard;27;oui;Repas Standard
2036;10847;796;Repas Standard;16;;Repas Standard
2037;1957;427;Repas Halal;136;;Repas Standard
2038;3278;393;Repas Standard;132;;Repas Standard
2039;3279;332;Repas Standard;5;;Repas Standard
2040;3280;554;Repas Halal;46;;Repas Standard
2041;3281;1232;Repas Standard;127;;Repas Standard
2042;3282;396;Repas Halal;57;;Repas Standard
2043;1241;2110;Repas Standard;26;;Repas Standard
2044;3283;843;Repas Standard;135;;Repas Standard
2045;1136;295;Repas Halal;8;;Repas Standard
2046;3284;273;Repas Halal;122;;Repas Standard
2047;3285;731;Repas Végétarien;135;;Repas vgtarien
2048;624;523;Repas Halal;136;;Repas Standard
2049;1668;724;Repas Sans Porc;63;;Repas Standard
2050;616;790;Repas Halal;35;;Repas Standard
2051;916;748;Repas Végétarien;21;;Repas vgtarien
2052;2117;554;Repas Halal;32;;Repas Standard
2053;3287;519;Repas Halal;102;;Repas Standard
2054;3286;999999;Repas Standard;132;;Repas Standard
2055;3288;407;Repas Halal;33;;Repas Standard
2056;3289;1138;Repas Standard;74;;Repas Standard
